param1,param2,param3,param4,param5,Variable,Iteration,NAME
0,0,0,0,0,CENTER,0,MVN_TRUEPOSCOR_LHS_NOPAR
1,1,1,1,1,VAR,0,MVN_TRUEPOSCOR_LHS_NOPAR
1,0,0,0,0,COV,0,MVN_TRUEPOSCOR_LHS_NOPAR
0,1,0,0,0,COV,0,MVN_TRUEPOSCOR_LHS_NOPAR
0,0,1,0,0,COV,0,MVN_TRUEPOSCOR_LHS_NOPAR
0,0,0,1,0,COV,0,MVN_TRUEPOSCOR_LHS_NOPAR
0,0,0,0,1,COV,0,MVN_TRUEPOSCOR_LHS_NOPAR
NA,NA,NA,NA,NA,P975,0,MVN_TRUEPOSCOR_LHS_NOPAR
NA,NA,NA,NA,NA,P025,0,MVN_TRUEPOSCOR_LHS_NOPAR
-0.06109225,-0.008662008,0.0052863,-0.0151198,-0.023506838,CENTER,1,MVN_TRUEPOSCOR_LHS_NOPAR
0.89281843,0.89140411,1.02600574,0.92492625,0.912410531,VAR,1,MVN_TRUEPOSCOR_LHS_NOPAR
0.89281843,0.360517812,-0.000687804,-0.022308989,-0.000567375,COV,1,MVN_TRUEPOSCOR_LHS_NOPAR
0.360517812,0.89140411,-0.003634681,-0.029339822,0.01008926,COV,1,MVN_TRUEPOSCOR_LHS_NOPAR
-0.000687804,-0.003634681,1.02600574,0.016999174,0.038299097,COV,1,MVN_TRUEPOSCOR_LHS_NOPAR
-0.022308989,-0.029339822,0.016999174,0.92492625,0.381316658,COV,1,MVN_TRUEPOSCOR_LHS_NOPAR
-0.000567375,0.01008926,0.038299097,0.381316658,0.912410531,COV,1,MVN_TRUEPOSCOR_LHS_NOPAR
-1.989410804,-1.704445011,-1.934204077,-1.926207149,-1.972526547,P025,1,MVN_TRUEPOSCOR_LHS_NOPAR
1.779983902,1.900127647,2.011809479,1.786926881,1.730471689,P975,1,MVN_TRUEPOSCOR_LHS_NOPAR
0.020286127,-0.035907358,0.026687714,-0.000460857,0.035422177,CENTER,2,MVN_TRUEPOSCOR_LHS_NOPAR
0.920296159,0.942877181,1.045208488,0.92190178,0.876572514,VAR,2,MVN_TRUEPOSCOR_LHS_NOPAR
0.920296159,0.066423394,0.019628345,-0.00736807,0.017727854,COV,2,MVN_TRUEPOSCOR_LHS_NOPAR
0.066423394,0.942877181,-0.011090466,0.041136079,-0.008426199,COV,2,MVN_TRUEPOSCOR_LHS_NOPAR
0.019628345,-0.011090466,1.045208488,-0.059086261,-0.042045167,COV,2,MVN_TRUEPOSCOR_LHS_NOPAR
-0.00736807,0.041136079,-0.059086261,0.92190178,0.07194047,COV,2,MVN_TRUEPOSCOR_LHS_NOPAR
0.017727854,-0.008426199,-0.042045167,0.07194047,0.876572514,COV,2,MVN_TRUEPOSCOR_LHS_NOPAR
-1.782478523,-1.870569816,-1.931791143,-1.906850699,-1.778429193,P025,2,MVN_TRUEPOSCOR_LHS_NOPAR
1.895476083,1.86038519,2.010726949,1.83238552,1.793296951,P975,2,MVN_TRUEPOSCOR_LHS_NOPAR
0.039344452,0.031943988,0.020207666,0.026475373,0.009555231,CENTER,3,MVN_TRUEPOSCOR_LHS_NOPAR
0.857663155,0.885722015,1.04489621,0.871141136,0.85677241,VAR,3,MVN_TRUEPOSCOR_LHS_NOPAR
0.857663155,0.363070857,-0.006692792,0.010362448,-0.01088291,COV,3,MVN_TRUEPOSCOR_LHS_NOPAR
0.363070857,0.885722015,0.014215062,-0.017159536,0.002456786,COV,3,MVN_TRUEPOSCOR_LHS_NOPAR
-0.006692792,0.014215062,1.04489621,0.052309382,0.012701861,COV,3,MVN_TRUEPOSCOR_LHS_NOPAR
0.010362448,-0.017159536,0.052309382,0.871141136,0.322054061,COV,3,MVN_TRUEPOSCOR_LHS_NOPAR
-0.01088291,0.002456786,0.012701861,0.322054061,0.85677241,COV,3,MVN_TRUEPOSCOR_LHS_NOPAR
-1.839388519,-1.807000103,-1.981411208,-1.767865607,-1.784799946,P025,3,MVN_TRUEPOSCOR_LHS_NOPAR
1.803095428,1.802396223,1.984751564,1.962014052,1.771341642,P975,3,MVN_TRUEPOSCOR_LHS_NOPAR
0.022796792,0.074807304,-0.005283522,-0.039484831,-0.046968541,CENTER,4,MVN_TRUEPOSCOR_LHS_NOPAR
0.945167227,0.871795351,0.991374187,0.884855854,0.923754579,VAR,4,MVN_TRUEPOSCOR_LHS_NOPAR
0.945167227,0.036927679,-0.041604501,-0.040082697,0.062753287,COV,4,MVN_TRUEPOSCOR_LHS_NOPAR
0.036927679,0.871795351,0.007666188,0.025116767,-0.030002572,COV,4,MVN_TRUEPOSCOR_LHS_NOPAR
-0.041604501,0.007666188,0.991374187,-0.03090034,0.026909755,COV,4,MVN_TRUEPOSCOR_LHS_NOPAR
-0.040082697,0.025116767,-0.03090034,0.884855854,0.102410771,COV,4,MVN_TRUEPOSCOR_LHS_NOPAR
0.062753287,-0.030002572,0.026909755,0.102410771,0.923754579,COV,4,MVN_TRUEPOSCOR_LHS_NOPAR
-1.907809152,-1.734038159,-1.901019087,-1.914917103,-1.922489083,P025,4,MVN_TRUEPOSCOR_LHS_NOPAR
1.892655111,1.939839739,1.948063491,1.763665686,1.90128971,P975,4,MVN_TRUEPOSCOR_LHS_NOPAR
0.03447588,0.010489039,0.009501124,-0.026229072,0.014227294,CENTER,5,MVN_TRUEPOSCOR_LHS_NOPAR
0.912257533,0.932039923,1.009831858,0.831364093,0.840703062,VAR,5,MVN_TRUEPOSCOR_LHS_NOPAR
0.912257533,0.376275685,0.0676917,0.024779484,-0.052200825,COV,5,MVN_TRUEPOSCOR_LHS_NOPAR
0.376275685,0.932039923,0.043852778,0.005547084,-0.013107787,COV,5,MVN_TRUEPOSCOR_LHS_NOPAR
0.0676917,0.043852778,1.009831858,-0.022361994,-0.02016581,COV,5,MVN_TRUEPOSCOR_LHS_NOPAR
0.024779484,0.005547084,-0.022361994,0.831364093,0.273618155,COV,5,MVN_TRUEPOSCOR_LHS_NOPAR
-0.052200825,-0.013107787,-0.02016581,0.273618155,0.840703062,COV,5,MVN_TRUEPOSCOR_LHS_NOPAR
-1.774461307,-1.956926893,-1.961294788,-1.806817548,-1.743519522,P025,5,MVN_TRUEPOSCOR_LHS_NOPAR
1.888695455,1.875460351,2.067665003,1.664352995,1.840252478,P975,5,MVN_TRUEPOSCOR_LHS_NOPAR
